event_date,source,medium,campaign,user_session_count,cart_add_count,visit_to_cart,checkout_count,visit_to_checkout,purchase_count,visit_to_purchase
2020-11-10,shop.googlemerchandisestore.com,referral,(referral),345,0,0.0,16,0.046,7,0.02
2020-11-11,(data deleted),(data deleted),(data deleted),280,0,0.0,18,0.064,9,0.032
2020-11-11,(data deleted),(data deleted),<Other>,2,0,0.0,0,0.0,0,0.0
2020-11-11,(direct),(none),(direct),826,0,0.0,28,0.034,14,0.017
2020-11-11,<Other>,(data deleted),(data deleted),7,0,0.0,0,0.0,0,0.0
2020-11-11,<Other>,<Other>,<Other>,528,0,0.0,19,0.036,7,0.013
2020-11-11,<Other>,organic,(organic),97,0,0.0,5,0.052,2,0.021
2020-11-11,<Other>,referral,(referral),348,0,0.0,19,0.055,9,0.026
2020-11-11,google,cpc,<Other>,180,0,0.0,8,0.044,3,0.017
2020-11-11,google,organic,(organic),1187,0,0.0,51,0.043,14,0.012
2020-11-11,shop.googlemerchandisestore.com,referral,(referral),309,0,0.0,14,0.045,5,0.016
2020-11-12,(data deleted),(data deleted),(data deleted),269,0,0.0,7,0.026,2,0.007
2020-11-12,(data deleted),(data deleted),<Other>,9,0,0.0,2,0.222,1,0.111
2020-11-12,(direct),(none),(direct),872,0,0.0,33,0.038,10,0.011
2020-11-12,<Other>,(data deleted),(data deleted),6,0,0.0,0,0.0,0,0.0
2020-11-12,<Other>,<Other>,<Other>,488,0,0.0,24,0.049,5,0.01
2020-11-12,<Other>,organic,(organic),96,0,0.0,2,0.021,0,0.0
2020-11-12,<Other>,referral,(referral),349,0,0.0,17,0.049,4,0.011
2020-11-12,google,cpc,<Other>,131,0,0.0,5,0.038,1,0.008
2020-11-12,google,organic,(organic),1071,0,0.0,54,0.05,11,0.01
2020-11-12,shop.googlemerchandisestore.com,referral,(referral),340,0,0.0,21,0.062,15,0.044
2020-11-13,(data deleted),(data deleted),(data deleted),235,0,0.0,22,0.094,16,0.068
2020-11-13,(data deleted),(data deleted),<Other>,4,0,0.0,0,0.0,0,0.0
2020-11-13,(direct),(none),(direct),814,0,0.0,37,0.045,14,0.017
2020-11-13,<Other>,(data deleted),(data deleted),6,0,0.0,0,0.0,0,0.0
2020-11-13,<Other>,<Other>,(data deleted),1,0,0.0,0,0.0,0,0.0
2020-11-13,<Other>,<Other>,<Other>,458,0,0.0,31,0.068,11,0.024
2020-11-13,<Other>,organic,(organic),75,0,0.0,5,0.067,2,0.027
2020-11-13,<Other>,referral,(referral),309,0,0.0,14,0.045,5,0.016
2020-11-13,google,cpc,<Other>,116,0,0.0,2,0.017,0,0.0
2020-11-13,google,organic,(organic),1003,0,0.0,56,0.056,14,0.014
2020-11-13,shop.googlemerchandisestore.com,referral,(referral),278,0,0.0,17,0.061,7,0.025
2020-11-14,(data deleted),(data deleted),(data deleted),170,0,0.0,9,0.053,5,0.029
2020-11-14,(data deleted),(data deleted),<Other>,1,0,0.0,0,0.0,0,0.0
